Row,CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
14219,57,331680981,310656830,61.56481713,56.85978672
14220,57,306884847,288356426,72.95258287,62.11717925
14221,58,315051937,296696209,74.82407359,63.64688473
14222,55,264643156,253505182,72.60729443,60.83631328
14223,53,293995810,268577177,60.5174871,54.45857773
14224,69,307855079,285439505,79.97364423,71.16852057
14225,70,265213258,253229012,81.10398725,72.19058933
14226,65,378290556,362902764,53.30983015,56.66526878
14227,64,364375126,332175715,61.89097384,60.3032611
14228,64,281907501,248338175,37.09381139,48.04290098
14229,56,282057994,277659904,64.60964614,57.69550209
14230,59,257108532,240421360,31.7646911,43.28407123
14231,55,277113141,247830228,50.05258564,50.31907229
14232,55,351528880,330309129,31.42215236,41.25148587
14233,68,271230717,251127409,57.11801204,59.52462483
14234,70,351619723,330872567,58.21436295,61.35320905
14235,77,308404437,280465404,74.81782933,72.43764428
14236,55,267975606,250089476,37.51607074,44.0170403
14237,65,276182924,256281672,52.63555614,56.14004905
14238,54,305752845,292122216,74.7678106,61.66009938
14239,71,412759469,384610094,60.08565663,62.73674306
14240,65,319624753,280489188,67.72259896,63.55729909
14241,79,307207762,276277277,49.59012294,61.06403909
14242,93,339508273,302989368,43.21257607,64.90406624
14243,93,339523502,303002378,43.2143771,64.90808742
14244,93,339523502,303002378,43.2143771,64.90808742
14245,45,209104419,190837568,65.66681819,52.75864768
14246,41,196752093,177513071,71.62103321,53.64591712
14247,41,150664491,138568026,66.48531319,51.14413725
14248,35,260391492,237993963,18.37582789,25.38472777
14249,26,182400331,179316359,31.62138317,27.68638686
14250,37,201457708,171540652,35.8171602,34.97076817
14251,42,241427012,236375421,45.27399685,41.91930288
14252,13,40328790,53955868,19.49465653,15.74083741
14253,43,219231000,212224148,32.29045664,36.03129337
14254,37,116835790,110506975,56.5308754,44.77196486
14255,37,268470389,266162165,43.68880543,38.78352091
14256,43,245675240,235915922,58.46962009,48.46222403
14257,35,290747441,270106225,43.41102415,37.67426735
14258,21,139998148,142073845,43.37260873,31.05003206
14259,41,214754803,190546421,31.90515262,34.93684578
14260,39,180108945,173116438,38.31841655,36.93216964
14261,40,198604299,178048449,45.04047058,40.69114118
14262,43,216929213,207921315,33.4777971,36.51285713
14263,41,221370569,210572431,31.33658027,34.50922579
14264,43,308815264,285065781,38.00185289,38.72288711
14265,25,141636848,122801215,25.03983523,23.83841171
14266,41,307718388,286897858,49.92405179,43.66879748
14267,38,189217510,171955176,65.2235992,49.25895338
14268,23,121966746,103487627,40.82253689,30.72564368
14269,44,235113505,219261910,40.76889685,40.51986101
14270,42,333575222,302671011,23.03496927,31.18651378
14271,26,130131314,129256727,28.83158448,26.12690184
14272,37,233835963,216484771,43.35286115,38.69671048
14273,26,135381618,135243660,26.81898244,25.3148287
14274,22,129967526,127065718,21.92733528,21.05179638
14275,43,231594479,214716775,39.36171732,39.55490913
14276,43,242990221,232348876,42.70413582,40.97463989
